Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-24 00:27:56.060352-0500 0x45c      Default     0x444                145    0    locationd: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
2026-04-24 00:27:56.060592-0500 0x45c      Default     0x444                145    0    locationd: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"RecordingTimestamp", "isFound":1}
2026-04-24 00:27:56.060620-0500 0x45c      Default     0x444                145    0    locationd: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"ReceivedTimestamp", "isFound":1}
2026-04-24 00:27:56.060866-0500 0x45c      Default     0x444                145    0    locationd: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"GenerationTimestamp", "isFound":1}
2026-04-24 00:27:56.062203-0500 0x45c      Default     0x444                145    0    locationd: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"ReceivedTimestamp", "isFound":1}
2026-04-24 00:27:56.062654-0500 0x45c      Default     0x444                145    0    locationd: [com.apple.locationd.Utility:Database] {"msg":"getColumnInfo", "table":<private>, "name":"LastActiveTimestamp", "isFound":1}
2026-04-24 00:27:56.067847-0500 0x84a      Default     0x0                  160    0    bluetoothd: [com.apple.bluetooth:Server.Accessory] setW1Logging: isTimeStampPeriodicallyEnabled = 0, isDisableDiagnosticsPeriodicallyEnabled = 0, module = 1023, level = 8, log_interval = 100000, power_logging_interval = 0, isCrashLoggingDisabled = 0
2026-04-24 00:27:56.083154-0500 0x2a2      Default     0x0                  1      0    launchd: [pid/306 [WiFiCloudAssets]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:56.142428-0500 0x237      Default     0x0                  1      0    launchd: [pid/145 [locationd]:] Service stub created for com.apple.CoreDisplay.XPCService
2026-04-24 00:27:56.143375-0500 0x237      Default     0x0                  1      0    launchd: [user/205/com.apple.security.XPCTimeStampingService:] created the implicit endpoint upfront
2026-04-24 00:27:56.143377-0500 0x237      Default     0x0                  1      0    launchd: [user/205/com.apple.security.XPCTimeStampingService:] draining messages from com.apple.security.XPCTimeStampingService
2026-04-24 00:27:56.163171-0500 0x339      Error       0x0                  166    7    WindowServer: (CoreDisplay) [com.apple.CoreDisplay:default] [ERROR] - Setting offline display 0x00000000 main in CGXConstructVirtualFramebuffer 	
	0  	    0x7ff80944902b	CoreDisplay::AddMainOfflineBreadcrumb(bool, char const*, ...) + 305
	10 	       0x108cd848c	11  WindowServer                        0x0000000108cd848c WindowServer + 5260
2026-04-24 00:27:56.163856-0500 0x339      Error       0x0                  166    7    WindowServer: (CoreDisplay) [com.apple.CoreDisplay:default] [ERROR] - Setting main display 0x00000000 offline 	
	0  	    0x7ff80944902b	CoreDisplay::AddMainOfflineBreadcrumb(bool, char const*, ...) + 305
	10 	       0x108cd848c	11  WindowServer                        0x0000000108cd848c WindowServer + 5260
2026-04-24 00:27:56.168031-0500 0x339      Error       0x0                  166    7    WindowServer: (CoreDisplay) [com.apple.CoreDisplay:default] [ERROR] - Setting offline display 0x41dc9d00 main in CGXMainDisplayDevice 	
	0  	    0x7ff80944902b	CoreDisplay::AddMainOfflineBreadcrumb(bool, char const*, ...) + 305
	9  	       0x108cd848c	10  WindowServer                        0x0000000108cd848c WindowServer + 5260
2026-04-24 00:27:56.170192-0500 0x339      Default     0x0                  166    7    WindowServer: (SkyLight) [com.apple.SkyLight:default] Session 257 retained (2 references)
2026-04-24 00:27:56.170450-0500 0x339      Default     0x0                  166    0    WindowServer: (libxpc.dylib) [com.apple.xpc:connection] [0x600002090000] activating connection: mach=true listener=false peer=false name=com.apple.coreservices.launchservicesd
2026-04-24 00:27:56.175728-0500 0x871      Default     0x0                  271    7    UVCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:56.178138-0500 0x871      Default     0x0                  271    7    UVCAssistant: (SkyLight) [com.apple.SkyLight:default] Failed to look up the port for "com.apple.windowserver.active" (1102)
2026-04-24 00:27:56.180376-0500 0x849      Default     0x0                  166    0    WindowServer: (libxpc.dylib) [com.apple.xpc:connection] [0x600002098000] activating connection: mach=false listener=false peer=false name=com.apple.AmbientDisplayAgent
2026-04-24 00:27:56.181197-0500 0x339      Default     0x0                  166    0    WindowServer: (libxpc.dylib) [com.apple.xpc:connection] [0x600002084000] activating connection: mach=true listener=false peer=false name=com.apple.hidpreferenceshelper
2026-04-24 00:27:56.182401-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] uncorking domain
2026-04-24 00:27:56.182530-0500 0x238      Default     0x0                  1      0    launchd: [pid/166 [WindowServer]:] Service stub created for com.apple.appkit.xpc.ColorPickerImageLoader
